City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lukovetskiy,64.2956,41.9211,49.98,83,100,14.27,RU,1633660262
Ahipara,-35.1667,173.1667,62.19,72,0,9.82,NZ,1633660264
Aklavik,68.2191,-135.0107,31.03,86,100,5.64,CA,1633660266
Pato Branco,-26.2286,-52.6706,63.19,89,87,2.42,BR,1633660268
Guerrero Negro,27.9769,-114.0611,70.59,75,98,18.48,MX,1633660270
Torbay,47.6666,-52.7314,50.76,86,90,6.91,CA,1633660272
Butaritari,3.0707,172.7902,82.74,67,15,12.86,KI,1633660274
Albany,42.6001,-73.9662,60.53,93,44,1.32,US,1633660043
Dickinson,29.4608,-95.0513,79.95,78,1,5.75,US,1633660278
Port Lincoln,-34.7333,135.8667,66.69,36,100,14.97,AU,1633660280
Alice Springs,-23.7,133.8833,83.75,32,0,8.05,AU,1633660282
Lillooet,50.6856,-121.942,47.12,66,96,4.45,CA,1633660241
Bata,1.8639,9.7658,75.25,91,99,4.05,GQ,1633660286
Lomovka,53.9194,58.3672,29.32,87,8,2.53,RU,1633660288
Chenghai,23.4632,116.768,80.51,94,40,6.71,CN,1633660290
Oskemen,49.9565,82.6119,33.76,93,90,6.71,KZ,1633660292
Safaga,26.7292,33.9365,71.55,50,0,14.34,EG,1633660294
Sanmenxia,34.7747,111.1814,59.47,78,91,11.1,CN,1633660296
Lebu,-37.6167,-73.65,47.5,89,1,8.61,CL,1633660298
Ilulissat,69.2167,-51.1,24.82,50,6,5.75,GL,1633660300
Nizwá,22.9333,57.5333,80.69,53,0,0.63,OM,1633660302
Campos Novos,-27.4017,-51.225,55.27,92,72,7.54,BR,1633660304
Vardø,70.3705,31.1107,40.96,70,64,30.38,NO,1633660211
Busselton,-33.65,115.3333,62.04,66,100,9.28,AU,1633660184
Kapaa,22.0752,-159.319,82.38,72,90,3.0,US,1633660309
Shache,38.4167,77.2406,67.05,22,0,4.5,CN,1633660311
Buchanan,5.8808,-10.0467,77.54,89,91,7.83,LR,1633660313
Broken Hill,-31.95,141.4333,73.11,17,0,5.75,AU,1633660315
East London,-33.0153,27.9116,66.09,88,100,10.71,ZA,1633660264
Yellowknife,62.456,-114.3525,37.42,100,90,1.99,CA,1633660241
Clyde River,70.4692,-68.5914,30.67,86,100,3.27,CA,1633660153
Faanui,-16.4833,-151.75,79.03,71,9,6.53,PF,1633660322
Baraki Barak,33.9675,68.9486,59.16,19,0,3.15,AF,1633660325
Saskylakh,71.9167,114.0833,6.87,92,86,6.04,RU,1633660326
Hofn,64.2539,-15.2082,48.9,95,100,25.03,IS,1633660328
Adrar,20.5022,-10.0711,86.58,9,92,8.97,MR,1633660330
Srednekolymsk,67.45,153.6833,25.41,65,24,3.74,RU,1633660222
Finschhafen,-6.6024,147.8681,85.12,70,40,11.21,PG,1633660334
Rock Springs,41.5875,-109.2029,50.05,79,40,1.01,US,1633660316
Puerto Ayora,-0.7393,-90.3518,68.56,97,95,4.0,EC,1633660277
Saint-Philippe,-21.3585,55.7679,67.59,79,23,9.37,RE,1633660339
Kargil,34.5667,76.1,46.51,26,0,1.9,IN,1633660341
Upernavik,72.7868,-56.1549,24.91,47,34,4.14,GL,1633660343
São Félix do Xingu,-6.6447,-51.995,76.91,64,13,0.51,BR,1633660345
Port Hedland,-20.3167,118.5667,82.45,57,0,9.22,AU,1633660347
Avarua,-21.2078,-159.775,78.85,69,40,9.22,CK,1633660349
Atuona,-9.8,-139.0333,77.83,78,24,15.93,PF,1633660294
Port Alfred,-33.5906,26.891,67.89,67,100,10.4,ZA,1633660352
Arrondissement de Villefranche-de-Rouergue,44.3333,2.0,48.97,94,36,2.98,FR,1633660355
Carnarvon,-24.8667,113.6333,71.67,49,0,23.02,AU,1633660357
Buala,-8.145,159.5921,86.05,69,36,8.19,SB,1633660358
Payo,-3.7508,103.6372,88.81,54,22,2.37,ID,1633660360
Sola,-13.8833,167.55,80.67,78,27,18.39,VU,1633660313
Severo-Kuril'sk,50.6789,156.125,48.79,75,100,20.74,RU,1633660364
Robertsport,6.7533,-11.3686,79.74,81,84,7.02,LR,1633660366
Cabo San Lucas,22.8909,-109.9124,86.31,58,1,0.0,MX,1633660230
Richards Bay,-28.783,32.0377,66.97,81,100,18.95,ZA,1633660177
Kaitangata,-46.2817,169.8464,57.79,65,87,9.15,NZ,1633660164
Okhotsk,59.3833,143.3,34.3,64,38,8.03,RU,1633660373
Lompoc,34.6391,-120.4579,64.56,84,90,5.75,US,1633660192
Leh,34.1667,77.5833,48.81,22,0,3.91,IN,1633660376
Itarema,-2.9248,-39.9167,78.64,85,100,10.94,BR,1633660299
George Town,5.4112,100.3354,84.13,87,20,5.01,MY,1633660380
Castro,-24.7911,-50.0119,54.18,98,100,8.1,BR,1633660213
Salalah,17.0151,54.0924,78.89,89,20,1.14,OM,1633660384
Ponta do Sol,32.6667,-17.1,70.43,78,87,2.33,PT,1633660386
Kupang,-10.1667,123.5833,87.01,56,83,11.34,ID,1633660388
Ancud,-41.8697,-73.8203,47.73,90,0,3.58,CL,1633660390
Airai,-8.9266,125.4092,83.07,26,44,5.91,TL,1633660392
Bindki,26.0333,80.6,83.52,55,0,4.45,IN,1633660393
Nuuk,64.1835,-51.7216,32.61,74,20,12.66,GL,1633660395
Mezen',65.8522,44.24,42.84,93,100,15.05,RU,1633660397
Rovenki,48.0833,39.3776,35.35,58,12,12.97,UA,1633660399
Coquimbo,-29.9533,-71.3436,56.93,71,90,3.44,CL,1633660396
Yangi Marg`ilon,40.4272,71.7189,52.52,82,30,9.22,UZ,1633660403
Bull Savanna,17.8868,-77.5902,77.18,85,12,4.18,JM,1633660405
Provideniya,64.3833,-173.3,37.51,81,75,15.66,RU,1633660177
Cariré,-3.9506,-40.4733,79.07,68,92,4.72,BR,1633660409
Dikson,73.5069,80.5464,30.72,87,100,13.13,RU,1633660388
Hithadhoo,-0.6,73.0833,82.99,67,99,9.37,MV,1633660169
Iberia,29.9502,-91.7507,73.36,94,1,4.61,US,1633660315
New Norfolk,-42.7826,147.0587,65.71,66,89,7.0,AU,1633660187
Padang,-0.9492,100.3543,82.45,64,77,2.48,ID,1633660417
Alugan,12.2188,125.4808,76.64,94,100,12.5,PH,1633660419
Bethel,41.3712,-73.414,63.05,91,1,4.61,US,1633660191
Ocumare del Tuy,10.1165,-66.7761,75.33,98,7,2.77,VE,1633660423
Lagunas,-5.2269,-75.6753,76.14,79,60,2.37,PE,1633660425
Tabuk,17.4189,121.4443,84.07,72,99,1.28,PH,1633660413
Gamba,-2.65,10.0,75.61,89,100,6.53,GA,1633660428
Oshakati,-17.7833,15.6833,71.47,21,87,1.3,NA,1633660430
Lac du Bonnet,50.2536,-96.0612,69.58,49,100,9.75,CA,1633660432
Kerema,-7.9631,145.7785,83.73,75,47,7.7,PG,1633660434
Datong,40.0936,113.2914,55.27,63,47,5.39,CN,1633660436
Saint-Pierre,-21.3393,55.4781,67.68,73,75,6.91,RE,1633660437
Rabo de Peixe,37.8,-25.5833,67.28,90,20,3.44,PT,1633660439
Royan,45.6285,-1.0281,51.78,76,0,9.42,FR,1633660441
Bredasdorp,-34.5322,20.0403,53.33,79,0,3.98,ZA,1633660443
Hilo,19.7297,-155.09,80.33,72,75,9.22,US,1633660445
Touros,-5.1989,-35.4608,79.7,85,94,11.59,BR,1633660447
San Ignacio,17.1561,-89.0714,77.14,94,75,0.0,BZ,1633660449
Daund,18.4667,74.6,81.03,70,33,2.51,IN,1633660451
São João da Barra,-21.6403,-41.0511,70.5,86,100,19.13,BR,1633660453
Bluff,-46.6,168.3333,55.8,81,100,14.79,NZ,1633660455
Belyy Yar,53.6039,91.3903,33.69,100,75,13.42,RU,1633660457
Pozo Colorado,-23.4923,-58.7972,72.43,80,100,1.97,PY,1633660459
Vostok,46.4856,135.8833,51.26,52,4,12.71,RU,1633660349
Vila Franca do Campo,37.7167,-25.4333,68.2,86,11,5.17,PT,1633660463
Wajima,37.4,136.9,77.68,69,75,4.61,JP,1633660465
Lipari,38.4674,14.954,66.78,72,78,24.85,IT,1633660467
Tuktoyaktuk,69.4541,-133.0374,28.4,93,20,5.75,CA,1633660188
Creston,41.0586,-94.3614,67.32,94,75,3.44,US,1633660470
Belaya Gora,68.5333,146.4167,27.39,54,39,8.41,RU,1633660472
Longyearbyen,78.2186,15.6401,19.24,79,0,8.05,SJ,1633660430
Comodoro Rivadavia,-45.8667,-67.5,40.86,81,0,5.75,AR,1633660201
Sebring,27.4956,-81.4409,78.75,84,40,4.61,US,1633660470
Yar-Sale,66.8333,70.8333,43.21,93,100,17.83,RU,1633660479
Manta,-0.95,-80.7333,71.38,83,40,11.5,EC,1633660293
Batagay-Alyta,67.8006,130.4114,27.09,55,96,4.74,RU,1633660483
Portland,45.5234,-122.6762,55.35,74,20,1.01,US,1633660367
Mossamedes,-15.1961,12.1522,65.41,70,56,7.31,AO,1633660251
Cidreira,-30.1811,-50.2056,59.54,66,4,7.14,BR,1633660488
Bambous Virieux,-20.3428,57.7575,67.21,94,75,5.75,MU,1633660490
Makakilo City,21.3469,-158.0858,84.52,53,1,13.8,US,1633660492
Quatre Cocos,-20.2078,57.7625,67.08,76,61,9.6,MU,1633660494
Ostrovnoy,68.0531,39.5131,38.1,77,99,25.68,RU,1633660496
Severomuysk,56.1481,113.4267,24.53,70,99,4.05,RU,1633660498
Port Hardy,50.6996,-127.4199,50.0,87,90,8.05,CA,1633660305
Mount Gambier,-37.8333,140.7667,62.51,59,40,14.97,AU,1633660501
Trelew,-43.249,-65.3051,46.76,78,0,8.25,AR,1633660503
Abancay,-13.6339,-72.8814,58.96,92,98,2.64,PE,1633660505
Chișinău,47.0056,28.8575,36.03,78,0,1.99,MD,1633660432
Klaksvík,62.2266,-6.589,52.72,83,99,20.13,FO,1633660509
Fortuna,40.5982,-124.1573,53.65,51,34,1.99,US,1633660511
Ponta Delgada,37.7333,-25.6667,68.5,82,20,3.44,PT,1633660513
Sambava,-14.2667,50.1667,71.38,81,97,6.98,MG,1633660515
Ballina,-28.8667,153.5667,78.98,64,90,13.8,AU,1633660255
Ribeira Grande,38.5167,-28.7,69.46,72,9,7.52,PT,1633660293
Yerbogachën,61.2767,108.0108,34.36,95,100,8.66,RU,1633660451
Namatanai,-3.6667,152.4333,84.02,73,97,1.77,PG,1633660522
Øksfjord,70.2396,22.3479,38.32,79,96,9.33,NO,1633660524
Zhangaözen,43.3,52.8,39.61,56,6,12.84,KZ,1633660526
Vestmannaeyjar,63.4427,-20.2734,49.28,81,92,30.56,IS,1633660528
Meligalás,37.2167,21.9667,65.46,100,99,4.61,GR,1633660530
Ardon,43.17,44.29,43.79,90,96,1.83,RU,1633660532
Saldanha,-33.0117,17.9442,57.25,83,46,13.18,ZA,1633660534
Hualmay,-11.0964,-77.6139,62.53,90,98,13.09,PE,1633660244
Deyang,31.1302,104.382,63.64,76,100,3.44,CN,1633660538
Mehamn,71.0357,27.8492,39.15,70,40,19.57,NO,1633660402
Bisert',56.8617,59.0523,31.84,86,16,5.79,RU,1633660387
Mount Isa,-20.7333,139.5,98.37,13,0,6.91,AU,1633660543
Faya,18.3851,42.4509,66.31,66,23,6.22,SA,1633660545
Olavarría,-36.8927,-60.3225,42.49,70,0,5.75,AR,1633660547
Mindelo,16.8901,-24.9804,78.35,73,20,19.57,CV,1633660549
Rocky Mountain House,52.3668,-114.9188,44.71,33,71,6.91,CA,1633660374
Martapura,-3.4167,114.85,87.89,62,20,4.61,ID,1633660552
Marsh Harbour,26.5412,-77.0636,82.4,69,68,10.45,BS,1633660541
Tautira,-17.7333,-149.15,80.62,71,23,1.79,PF,1633660556
Ziyang,29.2497,117.8547,85.08,56,30,5.66,CN,1633660558
Kambove,-10.8764,26.5969,61.21,48,63,4.18,CD,1633660560
Tongchuanshi,35.0806,109.0897,53.28,89,100,5.08,CN,1633660562
Roald,62.5833,6.1333,57.34,94,90,8.05,NO,1633660431
Kilindoni,-7.9139,39.6668,78.8,72,58,16.87,TZ,1633660565
Emerald,-23.5333,148.1667,86.34,37,0,8.05,AU,1633660567
Tupik,54.4253,119.9327,43.05,35,91,5.84,RU,1633660570
Erzin,36.9559,36.2,55.92,29,0,5.12,TR,1633660572
Zhangjiakou,40.81,114.8794,56.26,69,33,6.85,CN,1633660574
Constitución,-35.3333,-72.4167,49.05,91,0,8.63,CL,1633660576
Batagay,67.6333,134.6333,32.11,60,100,13.18,RU,1633660578
Corn Island,12.1694,-83.0418,82.99,80,100,16.87,NI,1633660580
North Bend,43.4065,-124.2243,53.94,88,1,12.66,US,1633660582
Raudeberg,61.9875,5.1352,55.96,80,100,7.0,NO,1633660583
Funtua,11.5233,7.3081,71.51,59,98,1.1,NG,1633660585
Shitanjing,39.2342,106.3439,55.02,62,100,10.22,CN,1633660587
Fes,34.0372,-4.9998,61.05,41,0,6.91,MA,1633660589
Labuhan,-6.8844,112.2051,89.47,47,0,0.6,ID,1633660591
Caravelas,-17.7125,-39.2481,73.89,85,100,3.04,BR,1633660593
Kruisfontein,-34.0033,24.7314,63.88,54,100,12.08,ZA,1633660595
Muros,42.7762,-9.0603,64.83,75,39,5.68,ES,1633660598
Henties Bay,-22.116,14.2845,52.86,83,0,6.4,NA,1633660599
Wick,58.4333,-3.0833,54.66,94,75,6.91,GB,1633660601
Preobrazheniye,42.9019,133.9064,61.83,49,1,4.18,RU,1633660603
Flinders,-34.5833,150.8552,73.18,60,67,4.0,AU,1633660605
Korla,41.7597,86.1469,44.19,32,13,17.83,CN,1633660607
Katsuura,35.1333,140.3,77.04,75,47,11.65,JP,1633660609
Beringovskiy,63.05,179.3167,33.15,92,100,10.94,RU,1633660611
Kargasok,59.0556,80.8572,40.73,89,100,10.69,RU,1633660328
Hasaki,35.7333,140.8333,82.29,77,60,15.37,JP,1633660615
Paamiut,61.994,-49.6678,35.49,65,0,7.29,GL,1633660617
Laguna,38.421,-121.4238,69.22,56,75,3.0,US,1633660378
Alofi,-19.0595,-169.9187,80.49,78,75,12.66,NU,1633660621
Khatanga,71.9667,102.5,21.11,95,100,6.04,RU,1633660623
Cascais,38.6979,-9.4215,70.97,55,30,10.0,PT,1633660625
Malakal,9.5334,31.6605,72.97,91,99,6.33,SS,1633660627
San Patricio,28.017,-97.5169,79.84,57,0,7.45,US,1633660629
Silopi,37.2497,42.4694,64.17,25,0,4.5,TR,1633660631
Powell,40.1578,-83.0752,69.91,93,90,1.99,US,1633660633
Whyalla,-33.0333,137.5833,73.29,20,0,12.66,AU,1633660635
Kudahuvadhoo,2.6708,72.8944,83.25,75,36,12.55,MV,1633660637
Imeni Poliny Osipenko,52.4201,136.4853,50.7,36,18,5.23,RU,1633660639
Grafton,42.207,-71.6856,59.49,89,0,3.91,US,1633660642
Isiolo,0.3546,37.5822,68.32,65,42,5.23,KE,1633660644
Luganville,-15.5333,167.1667,81.28,77,84,12.55,VU,1633660646
Handan,36.6006,114.4678,61.86,64,0,8.05,CN,1633660648
Bengkulu,-3.8004,102.2655,82.11,71,40,5.64,ID,1633660650
Clearlake,38.9582,-122.6264,57.83,43,100,4.0,US,1633660652
Chicama,-7.8447,-79.1469,59.54,87,100,8.32,PE,1633660654
Jinka,5.65,36.65,64.18,85,100,2.06,ET,1633660656
Hong Kong,22.2855,114.1577,78.94,96,100,1.01,HK,1633660515
Upington,-28.4478,21.2561,52.18,32,0,3.44,ZA,1633660660
Hambantota,6.1241,81.1185,82.74,89,20,9.22,LK,1633660438
Neubrandenburg,53.5667,13.2667,51.89,95,91,4.5,DE,1633660663
Salamanca,40.8333,-6.0,54.63,50,11,5.3,ES,1633660509
Lumberton,34.6182,-79.0086,71.35,93,11,6.6,US,1633660667
Złocieniec,53.5329,16.0113,51.49,87,76,5.75,PL,1633660670
Aasiaat,68.7098,-52.8699,15.15,84,19,5.61,GL,1633660671
Tahe,52.3333,124.7333,46.76,38,12,6.78,CN,1633660673
Nuevitas,21.5453,-77.2644,78.24,79,10,12.73,CU,1633660676
Teknāf,20.8624,92.3058,84.29,77,99,2.08,BD,1633660677
San Jeronimito,17.55,-101.3333,84.04,74,75,0.0,MX,1633660680
Mackay,-21.15,149.2,85.68,61,0,13.8,AU,1633660682
Maningrida,-12.0667,134.2667,89.64,50,86,11.61,AU,1633660684
Sibolga,1.7427,98.7792,83.21,69,100,2.04,ID,1633660686
Beloha,-25.1667,45.05,60.31,60,1,8.28,MG,1633660688
Coyhaique,-45.5752,-72.0662,44.55,76,0,1.14,CL,1633660555
Matara,5.9485,80.5353,81.82,80,100,9.42,LK,1633660691
Thompson,55.7435,-97.8558,46.56,81,1,0.0,CA,1633660693
Santa Isabel Rio Negro,-0.4139,-65.0192,73.44,99,90,3.09,BR,1633660695
Pisco,-13.7,-76.2167,63.01,88,29,18.41,PE,1633660697
Petatlán,17.5167,-101.2667,84.0,89,97,2.64,MX,1633660700
Korhogo,9.45,-5.6333,73.02,86,100,4.47,CI,1633660702
Kunashak,55.7032,61.5498,34.32,74,1,10.04,RU,1633660704
Quang Ngai,15.1167,108.8,81.59,83,100,5.64,VN,1633660706
Christchurch,-43.5333,172.6333,71.47,49,5,4.0,NZ,1633660543
Balikpapan,-1.2675,116.8289,79.79,94,20,6.91,ID,1633660709
Leningradskiy,69.3833,178.4167,26.19,97,100,1.83,RU,1633660711
Mayo,38.8876,-76.5119,70.12,92,1,1.01,US,1633660713
Shimoda,34.6667,138.95,80.1,71,61,6.76,JP,1633660715
Tavagnacco,46.1272,13.2132,56.16,83,100,6.51,IT,1633660717
Leeton,-34.5667,146.4,72.9,37,52,4.61,AU,1633660719
Neiafu,-18.65,-173.9833,81.28,78,20,9.22,TO,1633660721
Baykit,61.67,96.37,37.15,94,100,4.38,RU,1633660723
Pindi Bhattian,31.8978,73.273,83.52,35,0,4.9,PK,1633660725
Shīeli,44.1667,66.75,43.75,34,15,18.5,KZ,1633660727
Cap Malheureux,-19.9842,57.6142,67.46,84,77,1.99,MU,1633660729
Ruteng,-8.6136,120.4721,77.27,55,91,1.34,ID,1633660731
Kindu,-2.95,25.95,69.06,91,8,2.57,CD,1633660734
Bonthe,7.5264,-12.505,77.95,84,48,5.41,SL,1633660736
Waipawa,-41.4122,175.5153,59.63,54,30,10.85,NZ,1633660738
Souillac,-20.5167,57.5167,67.35,94,75,5.75,MU,1633660740
Chokurdakh,70.6333,147.9167,17.22,85,93,6.89,RU,1633660742
Beira,-19.8436,34.8389,73.49,68,40,10.36,MZ,1633660744
Vila Velha,-20.3297,-40.2925,75.15,78,75,14.97,BR,1633660495
Grand Gaube,-20.0064,57.6608,67.37,83,80,3.0,MU,1633660748
Araouane,18.9048,-3.5265,87.13,9,1,8.66,ML,1633660750
Anzio,41.4853,12.6179,59.97,82,31,6.78,IT,1633660752
Pasni,25.2631,63.471,82.29,65,0,8.32,PK,1633660754
Lyuban',52.7985,28.0048,34.93,66,2,6.46,BY,1633660756
Carballo,43.213,-8.691,61.86,86,77,1.28,ES,1633660758
Olafsvik,64.8945,-23.7142,43.66,90,100,30.2,IS,1633660760
Iqaluit,63.7506,-68.5145,35.33,87,75,8.99,CA,1633660762
Prince Rupert,54.3161,-130.3201,47.89,79,90,16.11,CA,1633660764
Batemans Bay,-35.7167,150.1833,72.19,54,61,12.53,AU,1633660766
Kayerkan,69.3497,87.7602,33.21,99,100,11.41,RU,1633660768
Cayenne,4.9333,-52.3333,82.09,81,20,3.0,GF,1633660770
Sitka,57.0531,-135.33,46.29,87,90,5.75,US,1633660772
Oussouye,12.485,-16.5469,77.18,84,92,5.59,SN,1633660774
Alto Araguaia,-17.3147,-53.2153,70.95,81,69,4.52,BR,1633660775
Luzhou,28.8724,105.4405,70.45,79,96,1.45,CN,1633660777
Bathsheba,13.2167,-59.5167,83.01,83,20,21.85,BB,1633660779
Anchovy,18.4103,-77.9317,81.25,74,20,10.36,JM,1633660781
Sept-Îles,50.2001,-66.3821,48.63,92,90,3.44,CA,1633660508
Isparta Province,38.0,31.0,38.16,60,0,3.47,TR,1633660785
Rio Grande,-32.035,-52.0986,44.94,70,57,6.44,BR,1633660787
Saint-Junien,45.8833,0.9,50.58,98,72,3.6,FR,1633660789
Nichinan,31.6,131.3667,85.15,58,48,10.36,JP,1633660791
Porosozero,62.7191,32.727,45.97,95,99,8.32,RU,1633660793
Tyrma,50.0833,132.1667,47.66,48,9,9.89,RU,1633660795
Ilhabela,-23.7781,-45.3581,65.91,86,100,5.86,BR,1633660607
Kungurtug,50.5994,97.5228,27.54,76,90,3.13,RU,1633660799
Miramar,25.9873,-80.2323,84.99,80,40,8.05,US,1633660801
Drøbak,59.6633,10.6298,57.56,1,100,10.13,NO,1633660803
Miquelon,47.0975,-56.3814,50.68,84,100,10.69,PM,1633660805
Galesong,-5.3166,119.3661,87.82,57,77,11.72,ID,1633660807
Strzelce Opolskie,50.5107,18.3006,41.34,65,10,7.61,PL,1633660809
Pevek,69.7008,170.3133,24.26,82,91,5.59,RU,1633660811
High Level,58.5169,-117.136,35.71,75,20,3.44,CA,1633660813
Carutapera,-1.195,-46.02,79.25,80,9,7.18,BR,1633660815
Narsaq,60.9167,-46.05,43.02,50,90,7.54,GL,1633660817
Mufumbwe,-13.6833,24.8,64.22,45,9,4.81,ZM,1633660819
Anloga,5.7947,0.8973,79.02,84,71,6.44,GH,1633660821
Bambanglipuro,-7.95,110.2833,81.54,73,69,10.18,ID,1633660823
Aktau,43.65,51.2,36.18,54,0,12.46,KZ,1633660826
Ormara,25.2088,64.6357,81.01,82,1,5.26,PK,1633660828
Tilichiki,60.4667,166.1,33.82,49,79,11.1,RU,1633660830
Dhidhdhoo,6.8833,73.1,82.11,80,17,15.88,MV,1633660832
Bubaque,11.2833,-15.8333,83.84,75,100,4.05,GW,1633660834
Morón,-34.6534,-58.6198,56.98,63,0,1.01,AR,1633660656
Novochernorechenskiy,56.2669,91.0828,34.5,98,100,8.95,RU,1633660837
Yarmouth,41.7057,-70.2286,63.99,93,1,1.01,US,1633660839
Mahajanga,-15.7167,46.3167,71.62,94,20,4.61,MG,1633660841
Grindavik,63.8424,-22.4338,49.95,93,90,19.57,IS,1633660843
Kununurra,-15.7667,128.7333,96.78,24,79,5.75,AU,1633660845
Sirte,31.2089,16.5887,74.88,72,0,8.14,LY,1633660847
Sonoita,31.85,-112.8333,81.54,34,100,3.78,MX,1633660849
Vinh,18.6667,105.6667,81.45,77,100,9.26,VN,1633660851
Poronaysk,49.2167,143.1167,55.58,47,7,13.44,RU,1633660782
Rawson,-43.3002,-65.1023,47.34,78,0,9.13,AR,1633660851
Dillon,34.4166,-79.3712,73.38,93,19,6.73,US,1633660857
Ukiah,39.1502,-123.2078,61.65,48,1,3.44,US,1633660805
Winnemucca,40.973,-117.7357,51.85,82,75,5.75,US,1633660861
Bulgan,48.8125,103.5347,41.16,52,100,2.17,MN,1633660863
Warri,5.5167,5.75,74.59,96,71,2.75,NG,1633660865
Lüderitz,-26.6481,15.1594,55.54,76,0,6.64,NA,1633660867
Ibatiba,-20.2339,-41.5106,64.36,95,99,4.56,BR,1633660804
Întorsura Buzăului,45.6833,26.0333,40.73,81,100,3.83,RO,1633660870
Velyka Bahachka,49.7912,33.7226,37.87,49,51,10.04,UA,1633660872
Cortland,42.6001,-76.083,62.44,93,1,0.0,US,1633660874
Tūkrah,32.5341,20.5791,71.6,56,0,6.17,LY,1633660876
Taoudenni,22.6783,-3.9836,88.38,10,8,9.64,ML,1633660754
Khovd,48.0056,91.6419,33.22,33,69,4.97,MN,1633660880
Tortolì,39.9256,9.6572,62.42,63,40,6.91,IT,1633660882
Edd,13.9297,41.6925,85.57,71,54,1.32,ER,1633660884
Half Moon Bay,37.4636,-122.4286,59.79,78,90,6.91,US,1633660886
Mweka,-4.85,21.5667,69.82,75,71,2.28,CD,1633660888
Am Timan,11.0297,20.2827,75.22,71,63,3.94,TD,1633660890
Brownsville,25.9018,-97.4975,76.95,77,1,3.44,US,1633660892
Obihiro,42.9172,143.2044,56.61,66,8,3.29,JP,1633660894
Khorixas,-20.3667,14.9667,63.57,33,0,2.62,NA,1633660896
Kavaratti,10.5669,72.642,82.08,78,41,8.37,IN,1633660898
Eenhana,-17.4667,16.3333,75.4,18,100,7.72,NA,1633660900
Sechura,-5.5569,-80.8222,65.48,81,71,15.73,PE,1633660880
Husavik,66.0449,-17.3389,40.91,98,100,8.81,IS,1633660904
Camacupa,-12.0167,17.4833,63.54,68,5,4.0,AO,1633660905
Talnakh,69.4865,88.3972,33.03,100,100,5.32,RU,1633660907
